"プロット タイトル: 21751639"
"#","日付 時間, GMT+03:00","Event, units (LGR S/N: 21751639, SEN S/N: 21751639)","カプラー取り外し (LGR S/N: 21751639)","カプラー取り付け (LGR S/N: 21751639)","ホスト接続 (LGR S/N: 21751639)","ファイルの終わり (LGR S/N: 21751639)"
230,24/04/18 13:14:06,45.6,,,,
231,24/04/18 13:16:00,45.8,,,,
232,24/04/18 13:16:59,46.0,,,,
233,24/04/18 13:17:34,46.2,,,,
234,24/04/18 13:17:59,46.4,,,,
235,24/04/18 13:18:25,46.6,,,,
236,24/04/18 13:18:36,46.8,,,,
237,24/04/18 13:19:09,47.0,,,,
238,24/04/18 13:19:34,47.2,,,,
239,24/04/18 13:20:12,47.4,,,,
240,24/04/18 13:20:24,47.6,,,,
241,24/04/18 13:22:00,47.8,,,,
242,24/04/18 13:32:52,48.0,,,,
243,24/04/18 23:45:08,48.2,,,,
244,24/04/18 23:51:22,48.4,,,,
245,24/04/19 00:05:18,48.6,,,,
246,24/04/19 00:54:58,48.8,,,,
247,24/04/19 09:55:32,,,記録,記録,
248,24/04/19 09:56:50,,,,記録,
249,24/04/19 09:57:17,,記録,,,
250,24/04/19 09:57:42,,,記録,,
251,24/04/19 09:57:46,,,,記録,
252,24/04/19 10:01:29,,,,記録,
253,24/04/19 10:01:34,,記録,,,
254,24/04/19 10:03:23,49.0,,,,
255,24/04/19 10:03:52,,,記録,,
256,24/04/19 10:03:58,,,,記録,
257,24/04/19 10:04:14,,,,記録,
258,24/04/19 10:04:15,,記録,,,
259,24/04/19 10:04:19,,,,記録,
260,24/04/19 10:04:20,,,記録,,
261,24/04/19 10:06:29,,,,記録,
262,24/04/19 10:06:33,,記録,,,
263,24/04/19 10:06:51,,,,記録,
264,24/04/19 10:06:52,,,記録,,
265,24/04/19 10:07:03,,,,記録,
266,24/04/19 10:07:44,,記録,,,
267,24/04/19 10:08:19,49.2,,,,
268,24/04/19 10:08:51,49.4,,,,
269,24/04/19 12:26:42,49.6,,,,
270,24/04/19 12:27:17,49.8,,,,
271,24/04/19 12:27:56,50.0,,,,
272,24/04/19 12:28:29,50.2,,,,
273,24/04/19 12:28:55,50.4,,,,
274,24/04/19 12:29:17,50.6,,,,
